
Perfil A

Encinasola  (EN)  29 S 680268 4220005 386  Shot time UTC +/- 2003:260:14:02:01.650  Sept 17:16:02
El Mustio   (MU)  29 S 670215 4188832 502  Shot time UTC +/- 2003:260:16:06:01.140  Sept 17:18:06
Villablanca (VI)  29 S 647330 4125195  39  Shot time UTC +/- 2003:260:18:07:01.350  Sept 17:20:07

Perfil B

MonteRubio  (MR0) 30 S 284312 4272036 670  Shot time UTC +/- 2003:266:18:05.00.355  Sept 23:18:05
Maguilla    (MA0) 30 S 247667 4247866 533  Shot time UTC +/- 2003:266:20:02.01.350  Sept 23:22:02
Rio Tinto   (RT0) 29 S 713258 4175619 368  Shot time UTC +/- 2003:267:16:01:01.840  Sept 24:18:01
Minas Cala  (CA0) 29 S 733391 4203249 588  Shot time UTC +/- 2003:267:18:01:01.100  Sept 24:20:01
Niebla      (NI0) 29 S 702326 4148285 166  Shot time UTC +/- 2003:267:13:31:01.855  Sept 24:15:31

Perfil C

Garlitos    (GA1) 30 S 322856 4303817 556  Shot time UTC +/- 2003:269:18:38:01.265  Sept 26:20:38
Garlitos    (GA2) 30 S 322938 4303893 547  Shot time UTC +/- 2003:269:19:31:00.615  Sept 26:21:31
Monterubio  (MR1) 30 S 284294 4272117 668  Shot time UTC +/- 2003:269:21:03:00:915  Sept 26:23:03
Maguilla    (MA1) 30 S 247623 4247979 529  Shot time UTC +/- 2003:269:22:32:00:495  Sept 26:24:32
Minas Cala  (CA1) 29 S 733343 4203262 580  Shot time UTC +/- 2003:270:13:33:00.430  Sept 27:15:33
Rio Tinto   (RT1) 29 S 713334 4175665 366  Shot time UTC +/- 2003:270:16:01:00.890  Sept 27:18:01
Niebla      (NI1) 29 S 702258 4148289 156  Shot time UTC +/- 2003:270:17:31:00.515  Sept 27:19:31

1658  4299300  830183  464
1659  4299207  830688  464
1660  4299372  831292  462
1661  4299372  832011  482
1662  4299344  832679  489
1663  4299339  833361  490
1665  4298897  834292  492
1666  4298554  834778  501
1667  4298267  835177  515
1668  4297916  835665  524
1670  4297365  836552  536
1671  4297618  836950  518
1672  4297850  837519  560
1673  4298452  838020  536
1674  4299056  838356  495
1675  4299227  838882  499
1676  4299426  839439  445
1677  4300096  839803  439
1678  4300481  840314  433
1679  4300141  841080  393
1680  4299983  841653  357
1681  4300305  842035  355
1682  4303410  844511  379
1683  4304244  845536  380
1684  4304529  846164  420
1685  4304866  846760  468
1686  4304942  847247  503
2001  4148121  703223  148
2002  4148373  703059  150
2003  4148646  702837  150
2004  4148894  702640  151
2005  4149192  702475  148
2006  4149302  702415  152
2007  4149619  702324  156
2008  4149899  702173  168
2009  4150084  701944  178
2010  4150220  701645  176
2011  4150549  701586  180
2012  4150828  701613  180
2013  4151038  701634  186
2014  4151321  701663  195
2015  4151620  701647  205
2016  4151922  701638  210
2017  4152282  701800  211
2018  4152525  701954  214
2019  4152753  702106  221
2020  4152984  702263  223
2022  4153355  702743  233
2023  4153544  702949  230
2024  4153786  703212  233
2025  4153984  703351  236
2026  4154310  703359  220
2027  4154583  703294  213
2028  4154666  703495  228
2029  4154620  703767  237
2030  4154876  703961  242
2031  4155079  704118  248
2032  4155154  704429  257
2033  4155155  704752  256
2034  4155244  705022  258
2035  4155497  705267  261
2036  4155788  705376  257
2037  4155938  705611  259
2039  4156269  705950  275
2040  4156332  706244  278
2041  4156472  706507  283
2042  4156457  706842  283
2043  4156475  707144  289
2044  4156620  707392  301
2045  4156862  707293  294
2046  4157298  707368  260
2047  4157536  707481  232
2048  4157929  707623  185
2049  4158182  707404  179
2050  4158499  707518  156
